ID,total_amount
1,24.456348461015615
2,24.374058064949182
3,19.878154362992067
4,25.01556853143839
5,22.252488533165348
6,24.978533263344076
7,49.74885806554505
8,24.48868192048868
9,23.241525709232647
10,18.176265127524438
11,18.777258728461135
12,30.43904757878873
13,-32.73189629852724
14,13.624791625958117
15,27.357835722473723
16,21.324831021520012
17,24.30388342167854
18,21.58152889523818
19,23.790105050363167
20,13.788763184595187
21,14.581489409307338
22,19.114486911484946
23,20.00123041580483
24,22.089594383620984
25,17.589715730483217
26,20.972881106359665
27,31.41040043254304
28,81.39618360777934
29,23.73743225105026
30,92.2299372371765
31,30.071159003471607
32,70.87875176246231
33,17.044609302870988
34,21.92035739193252
35,19.261842746732455
36,31.1975357332847
37,33.013133710935335
38,22.96176284281
39,30.39881180848628
40,19.947451954057765
41,89.8365808406908
42,20.4011676900582
43,18.280008146556742
44,43.23205719166318
45,24.655266375576232
46,43.143655036414955
47,13.290301959479688
48,23.856725158557012
49,26.05797084824264
50,22.017664102924687
51,23.10652995406143
52,70.99347012623086
53,20.54405996089004
54,18.085047134316383
55,39.19664215601266
56,14.108170652089306
57,16.89181766505477
58,40.84561471080052
59,21.75071465942416
60,15.144917744268689
61,32.079622263178166
62,25.760198281250062
63,13.507080168895396
64,19.111239224454607
65,16.698228134499246
66,24.68830003197534
67,66.16822732624999
68,27.785355183599993
69,28.880907070766074
70,23.628368377446208
71,31.950266743639446
72,27.35953918471994
73,44.23145409308773
74,24.59391924506058
75,31.229017794880466
76,37.023214185143694
77,17.36893347628008
78,40.140149744624125
79,28.492897547042155
80,16.627572501399804
81,14.330651344708393
82,101.93114731729094
83,19.103944760632302
84,27.695356749880343
85,21.79942189969164
86,26.82915056850237
87,15.510808810187346
88,27.371041636326105
89,90.26297293948033
90,28.60681443544773
91,20.51735037260025
92,25.255936724014052
93,17.848488067214905
94,18.14044957548147
95,34.017342243539346
96,14.159007791272039
97,23.76128256549516
98,20.996013479453538
99,20.44710294221194
100,-19.78829691971015
101,56.006463687743306
102,20.72284715016238
103,69.31525503642325
104,19.745016202692963
105,14.03352085806161
106,18.518908061490983
107,18.967965020530823
108,23.69697066526579
109,15.757159763969824
110,23.95747027749781
111,20.162425001950712
112,28.4292121830604
113,21.967487288648375
114,20.75612892100869
115,49.90311779110979
116,13.106602532057533
117,96.50579574878361
118,30.404448609183195
119,12.581594033972337
120,24.53413535329984
121,17.383526958240942
122,18.253306221951682
123,37.33634021795652
124,18.06254197589991
125,97.6664856444581
126,22.045771019355524
127,24.92765497707182
128,22.357185908717582
129,18.851033848937885
130,22.299749091897667
131,22.83012161270573
132,22.892778735934012
133,23.29419175963503
134,-24.946760504921258
135,25.634297070490145
136,17.24801472345326
137,21.06976781380682
138,19.984744045333017
139,25.423427155018754
140,16.49130683167752
141,98.34001701856627
142,20.629181536729366
143,22.637638591711905
